OrigCountryName,Country,CountryCode,SubContinent,SubContCode,Continent,ContCode,Develop
United Kingdom,United Kingdom,826,Northern Europe,154,Europe,150,Developed
United Rep. of Tanzania,Tanzania,834,Eastern Africa,14,Africa,2,Developing
United States,United States,840,Northern America,21,Americas,19,Developed
United States Virgin Is.,Virgin Islands,850,Caribbean,29,Americas,19,Developing
Uruguay,Uruguay,858,South America,5,Americas,19,Developing
Uzbekistan,Uzbekistan,860,Central Asia,143,Asia,142,Developing
Vanuatu,Vanuatu,548,Melanesia,54,Oceania,9,Developing
Venezuela(Bolivar. Rep.),Venezuela,862,South America,5,Americas,19,Developing
Viet Nam,Viet Nam,704,South-Eastern Asia,35,Asia,142,Developing
Wallis and Futuna Is.,Wallis and Futuna Islands,876,Polynesia,61,Oceania,9,Developing
Yemen,Yemen,887,Western Asia,145,Asia,142,Developing
Zambia,Zambia,894,Eastern Africa,14,Africa,2,Developing
Zimbabwe,Zimbabwe,716,Eastern Africa,14,Africa,2,Developing
